"pol_id","losspaid","class4","tgroup"
3070,274,1101,5
3077,8055,1101,6
3086,12130,1101,2
3086,995,1101,2
3092,429,1162,6
3095,1019,1101,1
3103,2465,1404,1
3109,387,1162,4
3139,9026,1101,1
3139,2274,1101,1
3139,7026,1101,1
3139,5184,1101,1
3149,408,1101,1
3152,500,1101,2
3160,1655,1101,5
3169,12209,1101,1
3170,373,1404,5
3172,592,1101,2
3198,1585,1101,1
3198,658,1101,1
3198,2320,1101,1
3210,5118,1101,2
3213,2363,1244,3
3216,464,1162,3
3216,1512,1162,3
3223,1521,1101,2
3240,1773,1101,5
3246,2080,1101,1
3249,687,1152,1
3271,4295,1101,6
3278,1004,1305,2
3290,720,1101,6
3306,474,1101,5
3310,10582,1101,6
3316,379,1101,6
3323,976,1101,4
3330,11002,1101,5
3330,828,1101,5
3330,6599,1101,5
3334,2093,1152,4
3337,1181,1101,2
3343,4654,1162,2
3372,596,1101,1
3389,304,1162,2
3398,289,1263,2
3425,2908,1101,4
3456,701,1101,6
3458,1639,1162,6
3466,713,1152,4
3477,2146,1101,1
3481,1113,1101,3
3505,702,1101,2
3509,773,1101,3
3527,4558,1101,6
3546,10,1101,2
3550,1178,1101,1
3554,571,1101,1
3585,802,1162,1
3590,1065,1101,6
3590,16476,1101,6
3591,1381,1101,5
3597,17323,1268,6
3597,5179,1268,6
3599,3238,1101,4
3600,513,1152,3
3619,2962,1101,2
3621,1603,1101,6
3624,472,1101,3
3624,904,1101,3
3638,565,1101,4
3641,1538,1101,3
3647,488,1103,6
3647,1878,1103,6
3659,2272,1152,3
3664,5,1101,4
3664,406,1101,4
3669,780,1305,5
3679,5214,1101,1
3685,888,1152,4
3704,1289,1101,3
3729,8039,1162,3
3729,7879,1162,3
3733,670,1101,5
3734,476,1101,5
3737,639,1101,6
3737,962,1101,6
3749,347,1152,4
3750,1597,1101,6
3750,1252,1101,6
3768,269,1152,5
3782,1482,1101,5
3782,4411,1101,5
3783,695,1152,2
3783,6651,1152,2
3819,1096,1101,6
3829,1157,1162,6
3834,616,1101,4
3847,2208,1101,4
3851,1772,1152,2
3860,461,1152,2
3867,1390,1101,5
3867,1097,1101,5
3881,3081,1101,5
3881,2242,1101,5
3881,319,1101,5
3896,1026,1101,5
3898,2119,1101,3
3910,1931,1101,1
3925,292,1101,2
3934,980,1101,2
3943,4086,1263,4
3943,2099,1263,4
3943,12072,1263,4
3952,636,1101,2
3958,836,1101,4
3958,2545,1101,4
3961,1252,1101,5
3973,1181,1101,5
3981,3367,1101,4
3981,7304,1101,4
3983,1586,1101,4
3991,1934,1101,5
3995,5,1101,5
4011,4141,1101,5
4014,7810,1162,6
4023,9665,1101,1
4027,1989,1101,3
4035,521,1421,4
4035,854,1421,4
4059,504,1263,4
4062,263,1101,6
4064,1416,1101,4
4064,927,1101,4
4073,631,1101,5
4081,3668,1101,3
4081,3163,1101,3
4081,225,1101,3
4086,21,1101,3
4088,3464,1428,2
4095,265,1162,5
4098,1004,1101,5
4100,754,1101,1
4100,6200,1101,1
4100,3383,1101,1
4105,1695,1269,5
4137,8035,1101,5
4137,6157,1101,5
4142,100,1101,1
4168,651,1101,1
4171,2280,1101,5
4178,1529,1101,1
4194,1926,1101,5
4195,1500,1162,4
4209,1830,1101,4
4210,794,1101,1
4213,1675,1101,6
4219,1692,1101,2
4227,245,1162,1
4230,599,1305,2
4233,3194,1101,4
4237,200,1101,4
4237,632,1101,4
4251,1264,1101,1
4255,2460,1101,5
4256,970,1152,6
4262,2510,1101,4
4264,2358,1101,1
4269,1000,1101,5
4275,1309,1101,3
4277,1202,1101,1
4298,602,1152,1
4302,2311,1101,5
4302,13319,1101,5
4318,1046,1101,5
4344,346,1101,4
4344,1099,1101,4
4345,444,1101,2
4347,1670,1152,4
4360,471,1263,2
4362,25000,1101,4
4362,18382,1101,4
4364,1170,1263,2
4375,1025,1241,4
4377,395,1101,5
4385,2347,1101,1
4385,6964,1101,1
4386,5200,1101,5
4418,12064,1101,2
4465,758,1305,5
4465,5375,1305,5
4480,334,1101,2
4510,459,1106,5
4510,1778,1106,5
4510,2400,1106,5
4510,2500,1106,5
4510,2700,1106,5
4510,2400,1106,5
4522,3725,1101,6
4529,6587,1101,5
4543,5008,1101,4
4548,538,1103,4
4548,1172,1103,4
4573,1632,1162,1
4599,930,1101,2
4602,331,1101,6
4608,1123,1152,4
4616,707,1152,1
4616,694,1152,1
4622,1482,1162,6
4630,272,1101,3
4645,5596,1101,5
4655,498,1261,3
4658,325,1101,5
4676,1549,1152,4
4682,4787,1101,5
4692,1275,1152,2
4698,50,1101,6
4703,467,1101,6
4705,1178,1152,5
4708,106,1162,2
4708,8214,1162,2
4709,1748,1162,2
4709,946,1162,2
4713,3714,1101,4
4715,668,1101,5
4715,3150,1101,5
4717,960,1101,5
4717,2416,1101,5
4758,167,1101,4
4762,357,1101,6
4773,1490,1101,3
4773,588,1101,3
4774,448,1152,1
4774,804,1152,1
4775,20000,1101,6
4780,2603,1101,5
4787,11468,1162,6
4787,9095,1162,6
4787,774,1162,6
4787,3058,1162,6
4789,415,1101,3
4827,711,1101,5
4830,1044,1101,4
4840,9258,1263,3
4841,4401,1152,1
4844,2473,1263,6
4858,1253,1101,2
4859,1736,1101,6
4869,3571,1263,5
4877,2962,1101,3
4877,4820,1428,3
4877,19557,1428,3
4878,298,1152,2
4908,969,1162,2
4909,588,1152,5
4923,440,1162,2
4927,4484,1101,3
4928,750,1101,6
4930,4843,1101,3
4940,1429,1152,4
4948,707,1101,1
4971,1785,1423,5
4981,11824,1101,3
4981,8164,1101,3
4981,5016,1101,3
4999,711,1243,6
5003,6005,1101,3
5008,89,1101,2
5008,621,1101,2
5012,25000,1101,1
5012,253,1101,1
5012,617,1101,1
5016,3541,1101,1
5019,474,1101,5
5022,587,1101,6
5022,423,1101,6
5024,808,1101,3
5026,5554,1101,6
5034,1433,1428,4
5034,13500,1428,4
5038,1263,1162,5
5038,1490,1162,5
5047,385,1101,3
5047,5063,1101,3
5048,1742,1101,3
5087,3194,1101,5
5101,1207,1101,4
5105,17,1101,5
5115,1529,1101,4
5141,1224,1162,1
5141,1093,1162,1
5144,2723,1101,3
5150,4851,1101,1
5152,1826,1101,2
5154,1003,1101,2
5158,3136,1305,2
5172,685,1101,5
5173,957,1101,5
5189,1191,1152,6
5189,12,1152,6
5202,1216,1101,5
5212,3426,1101,4
5218,391,1101,4
5220,500,1101,6
5223,844,1101,5
5230,545,1101,1
5230,5111,1101,1
5262,384,1101,5
5266,182,1152,1
5268,1481,1101,1
5281,350,1101,6
5284,6458,1101,4
5284,589,1101,4
5284,464,1101,4
5284,2165,1101,4
5284,2851,1101,4
5287,1083,1101,2
5311,818,1409,4
5320,21109,1101,5
5320,1069,1101,5
5320,1640,1101,5
5340,387,1101,6
5354,2886,1101,2
5376,1244,1162,4
5383,512,1162,5
5383,434,1162,5
5390,2296,1101,5
5433,355,1101,1
5434,1492,1101,6
5435,2805,1261,4
5442,1567,1263,1
5442,308,1263,1
5462,703,1162,4
5465,147,1101,4
5478,1303,1152,3
5480,1871,1101,5
5488,10883,1101,4
5494,687,1162,1
5508,1862,1101,1
5525,5418,1423,2
5537,627,1101,2
5539,73,1101,3
5539,1899,1101,3
5541,2914,1101,4
5543,979,1162,5
5547,523,1162,4
5553,3700,1101,5
5553,25000,1101,5
5553,6392,1101,5
5558,1887,1101,5
5567,10244,1101,2
5592,412,1106,5
5592,219,1106,5
5609,1354,1152,4
5616,349,1101,4
5619,2098,1101,2
5622,6189,1152,2
5636,6471,1101,6
5640,1547,1162,4
5641,306,1101,5
5645,1528,1101,2
5646,6684,1101,5
5668,1031,1101,2
5686,5,1101,6
5702,3150,1103,5
5720,829,1264,2
5728,430,1162,3
5754,4438,1421,6
5754,641,1421,6
5772,597,1101,5
5786,1078,1101,4
5806,1829,1101,3
5815,7455,1101,4
5831,542,1305,1
5842,2976,1101,6
5845,277,1162,5
5861,462,1101,5
5861,13074,1101,5
5861,1072,1101,5
5862,1462,1152,6
5862,1690,1152,6
5870,9731,1101,6
5878,7500,1101,2
5880,357,1101,5
5888,156,1162,2
5900,3421,1101,4
5902,314,1101,2
5905,7819,1101,6
5908,917,1152,5
5908,226,1152,5
5909,1402,1103,5
5911,3113,1101,3
5922,4899,1152,4
5927,4915,1101,5
5931,25000,1101,5
5938,5703,1101,4
5938,739,1101,4
5943,1096,1101,5
5969,2045,1261,2
5969,1615,1261,2
5971,2317,1101,2
5978,1783,1152,4
6001,1417,1101,5
6003,900,1305,4
6004,270,1101,1
6011,851,1152,5
6012,940,1101,2
6032,828,1101,6
6041,5,1261,6
6041,4900,1261,6
6053,350,1101,5
6061,1527,1101,5
6077,415,1101,4
6077,1105,1409,4
6077,1530,1409,4
6077,1489,1409,4
6089,5664,1101,4
6101,2724,1101,1
6126,3392,1101,5
6130,1801,1101,6
6140,1714,1101,2
6170,1609,1162,3
6183,246,1264,1
6207,967,1152,1
6208,5,1247,5
6218,1035,1101,4
6225,2052,1162,6
6232,542,1101,1
6233,381,1101,5
6234,1590,1152,6
6235,1008,1101,3
6237,8851,1101,2
6242,1048,1101,3
6246,1361,1101,2
6246,3402,1101,2
6253,4416,1428,2
6284,411,1162,5
6288,2532,1152,4
6288,1183,1152,4
6290,1965,1152,3
6291,5869,1101,3
6298,1400,1423,2
6302,687,1101,6
6326,1161,1101,4
6327,618,1152,5
6348,5089,1162,2
6350,223,1101,6
6350,1032,1101,6
6367,35,1152,3
6388,6454,1261,3
6388,5976,1261,3
6388,3964,1261,3
6391,4166,1101,2
6391,678,1101,2
6392,2529,1101,2
6397,1148,1101,5
6399,2863,1101,1
6484,1177,1101,4
6486,804,1162,3
6508,14486,1101,4
6531,303,1103,6
6531,5579,1103,6
6533,9195,1101,4
6558,2298,1428,1
6564,2065,1101,5
6564,3703,1101,5
6570,232,1101,6
6571,1644,1152,3
6586,822,1101,2
6591,955,1101,5
6591,1056,1101,5
6598,362,1101,6
6630,885,1101,5
6631,987,1101,6
6640,1251,1152,5
6644,3106,1101,6
6671,892,1101,4
6677,562,1101,5
6684,1994,1101,5
6686,889,1101,4
6699,655,1152,4
6701,290,1101,2
6705,495,1101,5
6713,419,1162,5
6729,54,1101,5
